review_status,pix_id,pix_title_internal,kk_id,kk_number,section_or_combo,exact_audio_path,living_dad_fit,deceased_dad_fit,complicated_dad_fit,primary_feelings,secondary_feelings,angle,pov,use_case,relevance_score,priority_tier,excluded_uses,gregory_decision,decision_reason,notes
NEEDS_AUDIO_MATCH,PIX-FD-NO-MYSTERY,No Mystery,KK-NO-MYSTERY-01,1,Intro,,,,,,,,,,,,,,,
NEEDS_AUDIO_MATCH,PIX-FD-NO-MYSTERY,No Mystery,KK-NO-MYSTERY-02,2,V1,,,,,,,,,,,,,,,
NEEDS_AUDIO_MATCH,PIX-FD-NO-MYSTERY,No Mystery,KK-NO-MYSTERY-03,3,Ch1,,,,,,,,,,,,,,,
NEEDS_AUDIO_MATCH,PIX-FD-NO-MYSTERY,No Mystery,KK-NO-MYSTERY-04,4,V2,,,,,,,,,,,,,,,
NEEDS_AUDIO_MATCH,PIX-FD-NO-MYSTERY,No Mystery,KK-NO-MYSTERY-05,5,Bridge,,,,,,,,,,,,,,,
NEEDS_AUDIO_MATCH,PIX-FD-NO-MYSTERY,No Mystery,KK-NO-MYSTERY-06,6,Ch3,,,,,,,,,,,,,,,
NEEDS_AUDIO_MATCH,PIX-FD-NO-MYSTERY,No Mystery,KK-NO-MYSTERY-07,7,Outro,,,,,,,,,,,,,,,
NEEDS_AUDIO_MATCH,PIX-FD-NO-MYSTERY,No Mystery,KK-NO-MYSTERY-KOMBO-INTRO-V1-CH1,,Intro + V1 + Ch1,,,,,,,,,,,,,,,
NEEDS_AUDIO_MATCH,PIX-FD-NO-MYSTERY,No Mystery,KK-NO-MYSTERY-KOMBO-CH3-OUTRO,,Ch3 + Outro,,,,,,,,,,,,,,,
NEEDS_KK_RECORD_SEARCH,PIX-FD-LIFES-A-TEST,Life’s a Test,,,,,,,,,,,,,,,,,,
NEEDS_KK_RECORD_SEARCH,PIX-FD-THATS-A-HAVE-TO,That’s a Have To,,,,,,,,,,,,,,,,,,
NEEDS_KK_RECORD_SEARCH,PIX-FD-HAVE-TO-DUET,Have-To duet,,,,,,,,,,,,,,,,,,
NEEDS_KK_RECORD_SEARCH,PIX-FD-EMPTY-CHAIR,That Empty Chair,,,,,,,,,,,,,,,,,,
NEEDS_KK_RECORD_SEARCH,PIX-FD-RING-THE-BELL,Ring the Bell,,,,,,,,,,,,,,,,,,
