source_row,source_audio_path,source_audio_filename,source_audio_sha256,lt_pix_parent_id,kk_id,gate_status,gate_reason,duration_seconds,channels,sample_rate,music_confidence_score,slug,headline,story_text
41,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00221-NKK-LT-PIX-ALLPOSS-00136-KK-01-NKK.wav,SRC-00221-NKK-LT-PIX-ALLPOSS-00136-KK-01-NKK.wav,d9fe030d1ba85ef939b5a9fea49bd41f0cc03de6ab1838fc266a0c21d12e6d39,LT-PIX-ALLPOSS-00136,LT-PIX-ALLPOSS-00136-KK-01,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,27.667007,2,44100,1.0,bad-day,Bad day? Send a HUG.,A warm musical lift when someone needs care.
74,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00386-NKK-LT-PIX-ALLPOSS-00285-KK-02-NKK.wav,SRC-00386-NKK-LT-PIX-ALLPOSS-00285-KK-02-NKK.wav,1b380895d1438eea97d34044a6dccf5a5237eaaba2c0605b7084e3e853def495,LT-PIX-ALLPOSS-00285,LT-PIX-ALLPOSS-00285-KK-02,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,27.666009,2,44100,1.0,big-win,Big win? Send a HUG.,Celebrate the moment with music they can keep.
102,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00410-NKK-LT-PIX-ALLPOSS-00309-KK-01-NKK.wav,SRC-00410-NKK-LT-PIX-ALLPOSS-00309-KK-01-NKK.wav,836dafeb32fe5101182e8dcd808fa5d4f61ad5e06aeafe992fc8f49f7e6d430e,LT-PIX-ALLPOSS-00309,LT-PIX-ALLPOSS-00309-KK-01,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,27.667007,2,44100,1.0,make-it-right,Need to make it right? Send a HUG.,A gentle way to say I care and I am sorry.
111,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00413-NKK-LT-PIX-ALLPOSS-00312-KK-04-NKK.wav,SRC-00413-NKK-LT-PIX-ALLPOSS-00312-KK-04-NKK.wav,de9b10a2257af7d7fa0bdcf572df37164012acd3b6267da1bc6bcd0ae07937d2,LT-PIX-ALLPOSS-00312,LT-PIX-ALLPOSS-00312-KK-04,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,29.076009,2,44100,1.0,just-because-care,Just because? Send a HUG.,"No occasion needed—just warmth, love, and a smile."
117,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00417-NKK-LT-PIX-ALLPOSS-00314-KK-01-NKK.wav,SRC-00417-NKK-LT-PIX-ALLPOSS-00314-KK-01-NKK.wav,39e00e91e9f32dc1be77624e45f0be2ffeb794a211227ff0174a1228a0fff6a9,LT-PIX-ALLPOSS-00314,LT-PIX-ALLPOSS-00314-KK-01,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,41.235011,2,44100,1.0,miss-them,Miss them? Send a HUG.,A little closeness for hearts that are far apart.
226,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00477-NKK-LT-PIX-ALLPOSS-00332-KK-01-NKK.wav,SRC-00477-NKK-LT-PIX-ALLPOSS-00332-KK-01-NKK.wav,82a92eb33e62d285133b022bc95dda7f42b53f14a75fd27e1d868369889c801d,LT-PIX-ALLPOSS-00332,LT-PIX-ALLPOSS-00332-KK-01,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,30.123991,2,44100,1.0,first-day-nerves,First-day nerves? Send a HUG.,"Send courage before school, work, or something new."
237,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00479-NKK-LT-PIX-ALLPOSS-00334-KK-01-NKK.wav,SRC-00479-NKK-LT-PIX-ALLPOSS-00334-KK-01-NKK.wav,a390d0166b9923e97bee4164f2e4c3417236c34971248b946fe3ff50fc3c592e,LT-PIX-ALLPOSS-00334,LT-PIX-ALLPOSS-00334-KK-01,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,35.03,2,44100,1.0,proud-of-them,Proud of them? Send a HUG.,Make a brave step or quiet victory feel seen.
249,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00481-NKK-LT-PIX-ALLPOSS-00336-KK-01-NKK.wav,SRC-00481-NKK-LT-PIX-ALLPOSS-00336-KK-01-NKK.wav,730243247ff4d7a81f5f45a60f829b57f1500f7bec5eab71b5f89f872cb8b7e1,LT-PIX-ALLPOSS-00336,LT-PIX-ALLPOSS-00336-KK-01,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,31.082993,2,44100,1.0,thinking-of-you,Thinking of you? Send a HUG.,"A gentle lift for rest, recovery, and hard days."
256,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00482-NKK-LT-PIX-ALLPOSS-00337-KK-01-NKK.wav,SRC-00482-NKK-LT-PIX-ALLPOSS-00337-KK-01-NKK.wav,ee7661a9d1c1973c51def54a81012efee2b399ff1be536e460a6a060150f93e3,LT-PIX-ALLPOSS-00337,LT-PIX-ALLPOSS-00337-KK-01,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,29.196009,2,44100,1.0,long-week,Long week? Send a HUG.,A little relief for someone running on empty.
272,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00484-NKK-LT-PIX-ALLPOSS-00339-KK-04-NKK.wav,SRC-00484-NKK-LT-PIX-ALLPOSS-00339-KK-04-NKK.wav,8a852dde86e1891f612af2cf281e4e79f4a5cffe9a9ac6b7f69152f549e7cdb9,LT-PIX-ALLPOSS-00339,LT-PIX-ALLPOSS-00339-KK-04,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,29.75,2,44100,1.0,breakup-blues,Breakup blues? Send a HUG.,A soft musical landing for a tender heart.
299,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00488-NKK-LT-PIX-ALLPOSS-00343-KK-06-NKK.wav,SRC-00488-NKK-LT-PIX-ALLPOSS-00343-KK-06-NKK.wav,bd0fa2a8d2604d7e1d3c621a6fd7d2f57543f34df8a4c668836c6bcb793d1d9a,LT-PIX-ALLPOSS-00343,LT-PIX-ALLPOSS-00343-KK-06,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,33.546871,2,44100,1.0,new-baby,New baby? Send a HUG.,"A warm hello for sleepy, joyful new parents."
302,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00489-NKK-LT-PIX-ALLPOSS-00344-KK-03-NKK.wav,SRC-00489-NKK-LT-PIX-ALLPOSS-00344-KK-03-NKK.wav,365a2d5c8df76067dd7e61979abe134d54ac9e9a62b0fe7fffccc22d0296ec21,LT-PIX-ALLPOSS-00344,LT-PIX-ALLPOSS-00344-KK-03,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,31.599002,2,44100,1.0,just-because-smile,Make them smile. Send a HUG.,A playful surprise for an ordinary day.
309,/Users/gputnammusicllc/GPM_LOCAL_VAULT/09_Registry/RAPID_DEPLOYMENT_429_SOURCE_BRIDGED_V002_20260711-233230/13_NKK_AUDIO/SRC-00490-NKK-LT-PIX-ALLPOSS-00345-KK-03-NKK.wav,SRC-00490-NKK-LT-PIX-ALLPOSS-00345-KK-03-NKK.wav,9004ae57ad580c250b119896fa07c6f06c32b830531fd7e5f07ab8749b912f7b,LT-PIX-ALLPOSS-00345,LT-PIX-ALLPOSS-00345-KK-03,MUSIC_PASS_STRICT_AUDIO_GATE,STEREO_CONTINUOUS_MUSICAL_BED_PROVEN,32.898005,2,44100,1.0,friends,Friend needs you? Send a HUG.,"Comfort, laughter, and love from one friend to another."
