review_order,source,lt_pix_id,source_audio_file,source_sha256,associated_musical_sources,family_control,auto_validation_status,tp_review_status,notes
12,Misty Midnight Blue,LTPIX_0299,489 - NATU Visinia - MISTY MIDNIGHT BLUE.wav,9c831f903bced329e90243c6ef60f64fa907268911083975d0546b66ee8fad7a,"Misty Midnight Blue - INSTRO | Misty Midnight Blue - INSTRO - STRIPPED","GENESIS PIX-FAM-0307; companion tracks 167047507 and 167047508 linked to vocal track 64057224; all 3:19; LTPIX_0189 Singer-Songwriter Mix remains separate",PAIRED_WAV_FAMILY_AND_DURATION_MATCH_PROVEN,STAGED_FOR_GPM_LT_PIX_TP_REVIEW,"Map Musical TPs using exact companions; align to original LTPIX_0299; trace complete vocal starts and final vocal end-sounds; human-review. Existing first-pass mK is learning evidence only."
13,I Do Swear,LTPIX_0278,468 - Zach Jackson - I DO SWEAR.wav,d9a9f5aca324b87785e46a54cbfc7170190683027dbfc4bf78d3bff41f890c19,"I DO SWEAR - INSTRO | I DO SWEAR - INSTRO - 95bpm - AMajor.wav","GENESIS PIX-FAM-0227 exact companion track 84638659 linked to vocal track 68836598 with GPM publisher match; local companion WAV exists but controlled-vault stabilization and SHA proof remain required",VOCAL_WAV_AND_EXACT_FAMILY_PAIR_PROVEN_COMPANION_STABILIZATION_REQUIRED,STAGED_COMPANION_STABILIZE_THEN_GPM_LT_PIX_TP_REVIEW,"Do not use the unstabilized local companion as final authority. Stabilize/hash it, generate Musical TPs, align to LTPIX_0278, trace complete vocal starts and final vocal end-sounds, then human-review."
14,My Rock,LTPIX_0216,405 - Zach Jackson - MY ROCK.wav,08abe483075bc04b0474427ac98bcaec01de792637ba21e4ff8c0d5365ead463,"MY ROCK-instrumental-Piano | MY ROCK-stripped-Piano","Vocal track 76135655 and controlled LT-PIX WAV are proven; GPM-controlled musical companions are identified in the library, but current evidence shows AAC copies only and no stabilized WAV/lossless companion",VOCAL_WAV_PROVEN_COMPANION_LOSSLESS_SOURCE_REQUIRED,STAGED_COMPANION_WAV_STABILIZE_THEN_GPM_LT_PIX_TP_REVIEW,"Do not derive Musical TPs from AAC as final authority. Locate and stabilize the companion WAV/lossless source, hash it, map Musical TPs, align to LTPIX_0216, trace vocal boundaries, then human-review."
15,Dark Cloud v4,LTPIX_0235,424 - Olivia Joy - DARK CLOUD - 4.wav,e7dddf9409a8130055eaf8fdb3bc899ab01e5e7a873e760a00d8fa119491c26c,DARK CLOUD - 4 - El Remix - INSTRO,"GENESIS PIX-FAM-0120 exact pair: vocal track 73598276 and IN-PIX track 73598281; GPM publisher match; both controlled Batch 012 WAVs and both catalog at 2:33",PAIRED_WAV_FAMILY_AND_DURATION_MATCH_PROVEN,STAGED_FOR_GPM_LT_PIX_TP_REVIEW,"Reject all old fixed-time or low-confidence Dark Cloud mappings. Generate Musical TPs from the exact El Remix INSTRO; align to LTPIX_0235; trace complete vocal starts and final vocal end-sounds; human-review."
16,Poppin' Out - INSTRO,,Poppin' Out - INSTRO.mp3,,Poppin' Out - INSTRO,"GENESIS PIX-FAM-0373 pure Michael Scherer INO-PIX/SWSP; track 167047827; He Has Jazz; 147 BPM; G Putnam 10% and Michael Scherer 90%; GPM publisher match; 4:50; no LT-PIX match. Connected evidence exposes MP3 only and no controlled WAV/lossless hash.",BLOCKED_CONTROLLED_WAV_OR_LOSSLESS_AND_HASH_PROOF,STAGED_SOURCE_STABILIZATION_THEN_INO_PIX_MUSICAL_TP_REVIEW,"Pure instrumental path: stabilize/hash WAV or lossless source, map Musical TPs directly, propose standalone instrumental SWSP/sK sections, human-review. No vocal tracing and no lyric KK derivation."
17,Fright Flight - INSTRO,,410 - Michael Scherer - FRIGHT FLIGHT - INSTRO.wav,,Fright Flight - INSTRO,"GENESIS PIX-FAM-0173 pure Michael Scherer INONLY-PIX/SWSP; track 74361966; Scherer Desire; Hip Hop; 99 BPM; ISRC QZ-GD6-21-00304; PRO 915315125; G Putnam and Michael Scherer 50/50; GPM publisher match; 3:07; no LT-PIX match; controlled STL Batch 012 WAV proven.",CONTROLLED_WAV_AND_RIGHTS_PROVEN_INDIVIDUAL_SHA_PENDING,STAGED_HASH_THEN_INO_PIX_MUSICAL_TP_REVIEW,"Pure instrumental path: compute/record WAV SHA, map Musical TPs directly, propose standalone instrumental SWSP/sK sections, human-review. No vocal tracing and no lyric KK derivation."
18,Where Are the Smiles - INSTRO,,368 - Michael Scherer - WHERE ARE THE SMILES - INSTRO.wav,e5394b4846ef474729ce36cf24638cad3ada380eed35a8990cf21c0de63f58db,Where Are the Smiles - INSTRO,"GENESIS PIX-FAM-0507 pure Michael Scherer INO-PIX/SWSP; track 87048508; He Has Jazz; GPM publisher match; no LT-PIX match; controlled STL Batch 010 WAV; unique SHA; intake stabilized and explicitly staged as later sK not lyric KK.",CONTROLLED_WAV_UNIQUE_SHA_RIGHTS_AND_INTAKE_STABILIZATION_PROVEN,STAGED_FOR_INO_PIX_MUSICAL_TP_REVIEW,"Map Musical TPs directly on the authoritative instrumental, propose standalone SWSP/sK sections, run ordering/endpoint/natural-resolve checks, then human-review. No vocal tracing and no lyric KK derivation."
19,Triple Treat - INSTRO,,367 - Michael Scherer - TRIPLE TREAT - INSTRO .wav,32bdc657765c3c0cda205d365a58ca39e8a24979cd4cbcec897a0d837fa3e50b,Triple Treat - INSTRO,"Michael Scherer controlled Batch 010 WAV; unique SHA; intake stabilized; explicitly staged for later sK not lyric KK.",CONTROLLED_WAV_UNIQUE_SHA_AND_INTAKE_STABILIZATION_PROVEN,RESERVE_INO_PIX_MUSICAL_TP_REVIEW,"Reserve rotation pool. Direct Musical TP review only; no vocal tracing or lyric KK derivation."
20,Takin' the Time - INSTRO,,369 - Michael Scherer - TAKIN' THE TIME - INSTRO.wav,7675868f6f347112b3d300de95c75bfb81c530a8d3ef9108c96a48943ff8940a,Takin' the Time - INSTRO,"Michael Scherer controlled Batch 010 WAV; unique SHA; intake stabilized; explicitly staged for later sK not lyric KK.",CONTROLLED_WAV_UNIQUE_SHA_AND_INTAKE_STABILIZATION_PROVEN,RESERVE_INO_PIX_MUSICAL_TP_REVIEW,"Reserve rotation pool. Direct Musical TP review only; no vocal tracing or lyric KK derivation."
21,Struttin' Sam - Short - INSTRO,,370 - Michael Scherer - STRUTTIN' SAM - Short - INSTRO.wav,ca39f56651ea79f207af13489bdb66887df5a4a6e2566828eb8857aeb37b1110,Struttin' Sam - Short - INSTRO,"Michael Scherer controlled Batch 010 WAV; unique SHA; intake stabilized; explicitly staged for later sK not lyric KK.",CONTROLLED_WAV_UNIQUE_SHA_AND_INTAKE_STABILIZATION_PROVEN,RESERVE_INO_PIX_MUSICAL_TP_REVIEW,"Reserve rotation pool. Direct Musical TP review only; no vocal tracing or lyric KK derivation."
